parser,score,elapsed_sec,elapsed_per_page,n_tables,n_headings,total_tokens,page_coverage,numeric_cell_ratio
pdfplumber,104.5622,2.1713333333333336,0.13566666666666669,139,0,35540.666666666664,0.9766666666666667,0.24266666666666667
unstructured,33.12813333333333,1060.6606666666667,42.559333333333335,27,133,24468.333333333332,1.0,0.7013333333333334
pdfminer,28.951833333333337,1.644,0.105,32,11,21662.0,0.9766666666666667,0.07566666666666666
llamaindex,16.03386666666667,1.527,0.09566666666666668,15,0,19839.333333333332,0.9766666666666667,0.15266666666666664
pymupdf,5.9754000000000005,0.13533333333333333,0.006333333333333333,0,0,20107.666666666668,0.9766666666666667,0.0
